id,platform,title,description,category,skills,instructor,rating,num_reviews,price,level,language,duration,url,image_url,scraped_at
coursera_47,Coursera,IBM Introduction to Machine Learning,"Skills you'll gain: Exploratory Data Analysis, Feature Engineering, Unsupervised Learning, Supervised Learning, Classification Algorithms, Regression Analysis, Dimensionality Reduction, Statistical Methods, Data Preprocessing, Applied Machine Learning, Model Evaluation, Statistical Inference, Predictive Modeling, Statistical Hypothesis Testing, Data Access, Anomaly Detection, Logistic Regression, Scikit Learn (Machine Learning Library), Machine Learning, Machine Learning Algorithms",Machine Learning,"machine, learning",IBM,,3300.0,Free,Beginner,English,,https://www.coursera.org/specializations/ibm-intro-machine-learning,,2026-01-29T14:46:59.454775
coursera_48,Coursera,Linear Algebra for Machine Learning and Data Science,"Skills you'll gain: Linear Algebra, NumPy, Dimensionality Reduction, Data Preprocessing, Machine Learning Methods, Advanced Mathematics, Data Manipulation, Applied Mathematics, Mathematical Modeling, Machine Learning, Python Programming, Algebra",Machine Learning,"machine, learning",DeepLearning.AI,,2300.0,Free,Intermediate,English,,https://www.coursera.org/learn/machine-learning-linear-algebra,,2026-01-29T14:46:59.645496
coursera_49,Coursera,Introduction to AI and Machine Learning on Google Cloud,"Skills you'll gain: Generative AI, Google Cloud Platform, MLOps (Machine Learning Operations), Prompt Engineering, Tensorflow, AI Workflows, Cloud Infrastructure, Artificial Intelligence, Big Data, Model Deployment, Machine Learning, Supervised Learning",Machine Learning,"machine, learning",Google Cloud,,313000.0,Free,Beginner,English,,https://www.coursera.org/learn/introduction-to-ai-and-machine-learning-on-google-cloud,,2026-01-29T14:46:59.851157
coursera_50,Coursera,Introduction to Machine Learning,"Skills you'll gain: PyTorch (Machine Learning Library), Logistic Regression, Transfer Learning, Reinforcement Learning, Convolutional Neural Networks, Deep Learning, Image Analysis, Applied Machine Learning, Natural Language Processing, Machine Learning, Recurrent Neural Networks (RNNs), Artificial Neural Networks, Supervised Learning, Unsupervised Learning, Python Programming, Computer Vision, Medical Imaging",Machine Learning,"machine, learning",Duke University,,3800.0,Subscription,Beginner,English,,https://www.coursera.org/learn/machine-learning-duke,,2026-01-29T14:47:00.056658
coursera_51,Coursera,IBM Generative AI Engineering,"Skills you'll gain: Prompt Engineering, Exploratory Data Analysis, Prompt Patterns, LangChain, Large Language Modeling, Retrieval-Augmented Generation, Model Evaluation, Unsupervised Learning, Generative Model Architectures, PyTorch (Machine Learning Library), ChatGPT, Generative AI, Restful API, LLM Application, Keras (Neural Network Library), Data Transformation, Supervised Learning, Responsible AI, Vector Databases, Data Import/Export",Machine Learning,"machine, learning",IBM,,98000.0,Free,Beginner,English,,https://www.coursera.org/professional-certificates/ibm-generative-ai-engineering,,2026-01-29T14:47:00.260531
coursera_52,Coursera,Machine Learning in Production,"Skills you'll gain: Model Deployment, MLOps (Machine Learning Operations), Cloud Deployment, Continuous Deployment, Model Evaluation, Data Preprocessing, Machine Learning, Applied Machine Learning, Data Validation, Feature Engineering, Data Quality, Debugging, Continuous Monitoring, Data Pipelines",Machine Learning,"machine, learning",DeepLearning.AI,,3300.0,Subscription,Intermediate,English,,https://www.coursera.org/learn/introduction-to-machine-learning-in-production,,2026-01-29T14:47:00.469263
coursera_53,Coursera,Developing Machine Learning Solutions,"Skills you'll gain: Model Evaluation, MLOps (Machine Learning Operations), AWS SageMaker, Amazon Web Services, Model Deployment, Machine Learning, Applied Machine Learning, Predictive Modeling",Machine Learning,"machine, learning",Amazon Web Services,,103000.0,Free,Beginner,English,,https://www.coursera.org/learn/developing-machine-learning-solutions,,2026-01-29T14:47:00.675109
coursera_54,Coursera,MLOps | Machine Learning Operations,"Skills you'll gain: MLOps (Machine Learning Operations), Model Deployment, Cloud Deployment, Pandas (Python Package), AWS SageMaker, NumPy, Microsoft Azure, Hugging Face, Responsible AI, Data Manipulation, Exploratory Data Analysis, Containerization, DevOps, Cloud Computing, Python Programming, Machine Learning, GitHub, Big Data, Data Management, Data Analysis",Machine Learning,"machine, learning",Duke University,,580000.0,Free,Advanced,English,,https://www.coursera.org/specializations/mlops-machine-learning-duke,,2026-01-29T14:47:00.876878
coursera_55,Coursera,AI and Machine Learning Essentials with Python,"Skills you'll gain: Statistical Machine Learning, Data Preprocessing, Model Evaluation, PyTorch (Machine Learning Library), Statistical Methods, Probability, Probability & Statistics, Sampling (Statistics), Logistic Regression, Deep Learning, Probability Distribution, Supervised Learning, Statistics, Machine Learning Methods, Machine Learning, Agentic systems, Artificial Intelligence, Artificial Neural Networks, Algorithms, Python Programming",Machine Learning,"machine, learning",University of Pennsylvania,,42000.0,Free,Intermediate,English,,https://www.coursera.org/specializations/ai-machinelearning-essentials,,2026-01-29T14:47:01.089141
coursera_56,Coursera,Applied Machine Learning in Python,"Skills you'll gain: Feature Engineering, Model Evaluation, Applied Machine Learning, Supervised Learning, Scikit Learn (Machine Learning Library), Predictive Modeling, Machine Learning, Decision Tree Learning, Unsupervised Learning, Python Programming, Random Forest Algorithm, Regression Analysis, Classification Algorithms, Artificial Neural Networks",Machine Learning,"machine, learning",University of Michigan,,8800.0,Free,Intermediate,English,,https://www.coursera.org/learn/python-machine-learning,,2026-01-29T14:47:01.284862
