title,partner,rating,reviews,metadata,link,category,scraped_at,source_domain,num_ratings,duration_hours,level_enc,title_clean,popularity_score,id
Create a Promotional Video using Canva,Coursera,4.3,1.1K reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/create-a-promotional-video-using-canva,Graphic Design,2026-01-29T02:38:32.914970,coursera,1100,0.0,1,create a promotional video using canva,30.117088787907523,540
Data Analysis with Python,IBM,4.7,20K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/data-analysis-with-python,Data Science,2026-01-29T02:26:58.370078,coursera,20000,20.0,2,data analysis with python,46.54662649104501,297
IBM Introduction to Machine Learning,IBM,4.6,3.3K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/ibm-intro-machine-learning,Machine Learning,2026-01-29T02:28:16.138063,coursera,3300,20.0,2,ibm introduction to machine learning,37.26911136652468,714
Introduction to AI and Machine Learning on Google Cloud,Google Cloud,4.6,313 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/introduction-to-ai-and-machine-learning-on-google-cloud,Machine Learning,2026-01-29T02:28:28.136545,coursera,313,20.0,1,introduction to ai and machine learning on google cloud,26.44720773517796,728
The Fundamentals of Personal Finance,SoFi,4.6,418 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/personal-finance-fundamentals,Finance,2026-01-29T02:35:03.749277,coursera,418,20.0,1,the fundamentals of personal finance,27.77420623164183,455
"Computer Science:  Algorithms, Theory, and Machines",Princeton University,4.7,745 reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/cs-algorithms-theory-machines,Computer Science,2026-01-28T18:45:55.711173,coursera,745,20.0,2,computer science  algorithms theory and machines,31.08921032095768,15
Generative AI in Marketing,University of Virginia Darden School Foundation,4.3,152 reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/generative-ai-in-marketing,Marketing,2026-01-28T18:47:36.120214,coursera,152,20.0,1,generative ai in marketing,21.630883061987472,179
A Journey through Western Christianity: from Persecuted Faith to Global Religion (200 - 1650) ,Yale University,4.8,693 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/western-christianity-200-1650,History,2026-01-28T23:17:34.565830,coursera,693,20.0,1,a journey through western christianity from persecuted faith to global religion 200  1650 ,31.40386541043266,128
Finance for Managers,IESE Business School,4.8,1K reviews,Mixed · Course · 1 - 4 Weeks,https://www.coursera.org/learn/operational-finance,Finance,2026-01-29T02:35:03.634765,coursera,1000,5.0,0,finance for managers,33.16202294071306,454
Introduction to Cybersecurity Fundamentals,Coursera,4.6,914 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-to-cybersecurity-fundamentals,Cybersecurity,2026-01-29T02:30:27.974086,coursera,914,5.0,1,introduction to cybersecurity fundamentals,31.367050700267395,258
The Complete Graphic Design Masterclass,Skillshare,4.4,17 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/the-complete-graphic-design-masterclass,Graphic Design,2026-01-28T23:14:49.877208,coursera,17,20.0,1,the complete graphic design masterclass,12.717635734743125,97
Fundamentals of Level Design with Unreal Engine,Epic Games,4.3,69 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/level-design,Game Design,2026-01-29T02:43:19.140748,coursera,69,5.0,1,fundamentals of level design with unreal engine,18.26852954081225,521
IBM Generative AI Engineering,IBM,4.6,98K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-generative-ai-engineering,Machine Learning,2026-01-29T02:28:17.716338,coursera,98000,20.0,1,ibm generative ai engineering,52.86657162373849,721
Project Management,University of California,4.7,32 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/uci-project-management,Project Management,2026-01-29T02:32:55.399847,coursera,32,20.0,1,project management,16.43358553889246,860
Google Digital Marketing & E-commerce,Google,4.8,47K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce,Digital Marketing,2026-01-28T23:13:38.015813,coursera,47000,20.0,1,google digital marketing  ecommerce,51.63803595389566,57
